County,County Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,536,55869,959.4,878.2,1040.6,41.4,812.2,742.7,881.7,0.0%
"Baldwin County, AL",1003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,223234,11.6,7.6,17.1,2.3,13,8.3,19.3,0.0%
"Baldwin County, AL",1003,Alcohol-induced causes,A,All other alcohol-induced causes,A9,27,223234,12.1,8,17.6,2.3,10.8,6.9,16,0.0%
"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,2222,223234,995.4,954,1036.8,21.1,721.3,690.2,752.3,0.1%
"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,330,24686,1336.8,1192.6,1481,73.6,1021.4,907.8,1135,0.0%
"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,260,22394,1161,1019.9,1302.2,72,958.7,840.2,1077.2,0.0%
"Blount County, AL",1009,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,700,57826,1210.5,1120.9,1300.2,45.8,934.8,864,1005.6,0.0%
"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,116,10101,1148.4,939.4,1357.4,106.6,936.4,762.8,1109.9,0.0%
"Butler County, AL",1013,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,241,19448,1239.2,1082.7,1395.7,79.8,834.5,724.4,944.7,0.0%
"Calhoun County, AL",1015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,113605,Unreliable,10.1,26.1,3.8,Unreliable,12,31.2,0.0%
"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1384,113605,1218.3,1154.1,1282.4,32.7,958.1,906.4,1009.8,0.0%
"Chambers County, AL",1017,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,418,33254,1257,1136.5,1377.5,61.5,882.5,794.9,970.2,0.0%
"Cherokee County, AL",1019,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,371,26196,1416.2,1272.1,1560.4,73.5,900.3,803.8,996.7,0.0%
"Chilton County, AL",1021,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,478,44428,1075.9,979.4,1172.4,49.2,873.8,794.1,953.6,0.0%
"Choctaw County, AL",1023,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,182,12589,1445.7,1235.7,1655.7,107.2,895.3,757.9,1032.7,0.0%
"Clarke County, AL",1025,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,346,23622,1464.7,1310.4,1619.1,78.7,1008.2,898.5,1117.9,0.0%
"Clay County, AL",1027,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,186,13235,1405.4,1203.4,1607.3,103,957.9,814.3,1101.4,0.0%
"Cleburne County, AL",1029,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,211,14910,1415.2,1224.2,1606.1,97.4,1042.4,896.7,1188.2,0.0%
"Coffee County, AL",1031,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,557,52342,1064.2,975.8,1152.5,45.1,875.3,801.5,949.1,0.0%
"Colbert County, AL",1033,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,744,55241,1346.8,1250,1443.6,49.4,938.4,869.3,1007.4,0.0%
"Conecuh County, AL",1035,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,203,12067,1682.3,1450.9,1913.7,118.1,1072.8,916.1,1229.5,0.0%
"Coosa County, AL",1037,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,138,10663,1294.2,1078.3,1510.1,110.2,826.9,676.9,976.9,0.0%
"Covington County, AL",1039,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,540,37049,1457.5,1334.6,1580.5,62.7,976.8,890.6,1062.9,0.0%
"Crenshaw County, AL",1041,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,191,13772,1386.9,1190.2,1583.6,100.4,995.6,850,1141.2,0.0%
"Cullman County, AL",1043,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,83768,Unreliable,7.4,25,4.1,Unreliable,8.7,29.4,0.0%
"Cullman County, AL",1043,Alcohol-induced causes,A,All other alcohol-induced causes,A9,10,83768,Unreliable,5.7,22,3.8,Unreliable,5.6,23.2,0.0%
"Cullman County, AL",1043,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1067,83768,1273.8,1197.3,1350.2,39,1006,944.2,1067.8,0.0%
"Dale County, AL",1045,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,544,49172,1106.3,1013.4,1199.3,47.4,889.7,813.5,965.9,0.0%
"Dallas County, AL",1047,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,458,37196,1231.3,1118.5,1344.1,57.5,958.1,866.8,1049.4,0.0%
"DeKalb County, AL",1049,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,71513,Unreliable,9.7,31.1,5,Unreliable,8.8,29.7,0.0%
"DeKalb County, AL",1049,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,816,71513,1141.1,1062.8,1219.3,39.9,940.3,874.4,1006.1,0.0%
"Elmore County, AL",1051,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,789,81209,971.6,903.8,1039.4,34.6,875.7,813.3,938.1,0.0%
"Escambia County, AL",1053,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,36633,Unreliable,13.1,50.2,8.6,Unreliable,10.9,45.4,0.0%
"Escambia County, AL",1053,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,462,36633,1261.2,1146.2,1376.2,58.7,986.3,894.5,1078,0.0%
"Etowah County, AL",1055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,102268,Unreliable,11.2,29,4.3,Unreliable,11.3,30.2,0.0%
"Etowah County, AL",1055,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1363,102268,1332.8,1262,1403.5,36.1,1008.5,953.7,1063.4,0.0%
"Fayette County, AL",1057,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,211,16302,1294.3,1119.7,1469,89.1,920,789.8,1050.3,0.0%
"Franklin County, AL",1059,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,373,31362,1189.3,1068.6,1310,61.6,974.6,874,1075.2,0.0%
"Geneva County, AL",1061,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,347,26271,1320.8,1181.9,1459.8,70.9,950.2,846.4,1054.1,0.0%
"Greene County, AL",1063,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,91,8111,1121.9,903.3,1377.5,117.6,815.1,641.1,1021.7,0.0%
"Hale County, AL",1065,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,218,14651,1488,1290.4,1685.5,100.8,1087.2,936.5,1238,0.0%
"Henry County, AL",1067,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,221,17205,1284.5,1115.2,1453.9,86.4,842.6,725.9,959.2,0.0%
"Houston County, AL",1069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,105882,Unreliable,4.5,17.4,3,Unreliable,3.8,15.6,0.0%
"Houston County, AL",1069,Alcohol-induced causes,A,All other alcohol-induced causes,A9,14,105882,Unreliable,7.2,22.2,3.5,Unreliable,6.1,19.7,0.0%
"Houston County, AL",1069,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1136,105882,1072.9,1010.5,1135.3,31.8,839.5,789.7,889.2,0.0%
"Jackson County, AL",1071,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,714,51626,1383,1281.6,1484.5,51.8,996.1,920.2,1072.1,0.0%
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,182,658573,27.6,23.6,31.7,2,28.2,24,32.4,0.0%
"Jefferson County, AL",1073,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,10,658573,Unreliable,0.7,2.8,0.5,Unreliable,0.7,2.9,0.0%
"Jefferson County, AL",1073,Drug-induced causes,D,All other drug-induced causes,D9,78,658573,11.8,9.4,14.8,1.3,9.7,7.6,12.1,0.0%
"Jefferson County, AL",1073,Alcohol-induced causes,A,All other alcohol-induced causes,A9,66,658573,10,7.8,12.8,1.2,8.3,6.3,10.6,0.0%
"Jefferson County, AL",1073,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,6895,658573,1047,1022.2,1071.7,12.6,871.8,850.8,892.8,0.2%
"Lamar County, AL",1075,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,195,13805,1412.5,1214.3,1610.8,101.2,922.9,787.5,1058.4,0.0%
"Lauderdale County, AL",1077,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,92729,Unreliable,5.9,21.2,3.6,Unreliable,6,23,0.0%
"Lauderdale County, AL",1077,Alcohol-induced causes,A,All other alcohol-induced causes,A9,10,92729,Unreliable,5.2,19.8,3.4,Unreliable,4.2,17.2,0.0%
"Lauderdale County, AL",1077,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1112,92729,1199.2,1128.7,1269.7,36,848.3,796.8,899.8,0.0%
"Lawrence County, AL",1079,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,409,32924,1242.3,1121.9,1362.6,61.4,958.1,862.4,1053.8,0.0%
"Lee County, AL",1081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,164542,Unreliable,2.9,11.2,1.9,Unreliable,2.9,11.2,0.0%
"Lee County, AL",1081,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,164542,Unreliable,4.2,13.5,2.2,Unreliable,3.9,12.5,0.0%
"Lee County, AL",1081,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1194,164542,725.7,684.5,766.8,21,800.7,754.3,847.2,0.0%
"Limestone County, AL",1083,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,844,98915,853.3,795.7,910.8,29.4,763.5,711,816,0.0%
"Lowndes County, AL",1085,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,146,9726,1501.1,1257.6,1744.6,124.2,1155.3,957.6,1353.1,0.0%
"Macon County, AL",1087,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,261,18068,1444.5,1269.3,1619.8,89.4,1057.9,921.3,1194.5,0.0%
"Madison County, AL",1089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,72,372909,19.3,15.1,24.3,2.3,19.4,15.1,24.5,0.0%
"Madison County, AL",1089,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,372909,Unreliable,1.9,6,1,Unreliable,1.5,5.2,0.0%
"Madison County, AL",1089,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,3264,372909,875.3,845.3,905.3,15.3,760.3,733.8,786.8,0.1%
"Marengo County, AL",1091,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,271,18863,1436.7,1265.6,1607.7,87.3,1042.9,913,1172.8,0.0%
"Marion County, AL",1093,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,438,29709,1474.3,1336.2,1612.4,70.4,971.6,878,1065.1,0.0%
"Marshall County, AL",1095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,96774,20.7,12.6,31.9,4.6,21.6,13,33.8,0.0%
"Marshall County, AL",1095,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1102,96774,1138.7,1071.5,1206,34.3,916.5,861.4,971.6,0.0%
"Mobile County, AL",1097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,46,413210,11.1,8.2,14.8,1.6,12.7,9.3,17.1,0.0%
"Mobile County, AL",1097,Alcohol-induced causes,A,All other alcohol-induced causes,A9,32,413210,7.7,5.3,10.9,1.4,6.4,4.3,9.1,0.0%
"Mobile County, AL",1097,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,4487,413210,1085.9,1054.1,1117.7,16.2,904.9,877.9,931.9,0.2%
"Monroe County, AL",1099,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,244,20733,1176.9,1029.2,1324.5,75.3,801.1,695.8,906.4,0.0%
"Montgomery County, AL",1101,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,226486,Unreliable,2.4,8.7,1.5,Unreliable,2.6,9.2,0.0%
"Montgomery County, AL",1101,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,226486,Unreliable,3.1,9.8,1.6,Unreliable,2.8,9.5,0.0%
